CustomerID,Date,time,NoGuests
HEDQ,2025-12-25,2,3
WOSN,2025-12-29,2,1
ROMP,2025-12-16,10,3
ZURF,2025-12-27,10,0
NUWT,2025-12-17,10,0
NUWT,2026-01-17,2,3
QESO,2025-12-15,2,3
CREG,2026-01-14,6,2
lbro,2025-12-25,6,2
HEDQ,2026-01-04,10,2
BIRX,2026-01-16,6,3
NUWT,2025-12-29,6,1
ZURF,2026-01-14,6,0
lbro,2025-12-13,6,0
WOSN,2026-01-11,10,1
NUWT,2025-12-18,10,3
PLIK,2025-12-12,6,3
YLON,2025-12-25,10,1
ZURF,2025-12-19,2,3
SBUY,2026-01-16,6,2
LAFR,2025-12-20,10,3
TAZE,2025-12-24,10,0
YLON,2025-12-16,2,3
ROMP,2025-12-14,6,2
JALU,2026-01-10,2,3
QESO,2026-01-11,6,0
YLON,2026-01-01,2,1
HEDQ,2025-12-31,6,1
BIRX,2026-01-18,2,1
TAZE,2026-01-04,2,2
VOTL,2025-12-23,6,1
PLIK,2026-01-08,2,3
lbro,2025-12-18,10,1
SBUY,2025-12-20,2,3
HEDQ,2025-12-16,10,2
VOTL,2025-12-31,2,0
WOSN,2026-01-11,6,1
LAFR,2026-01-17,10,3
BIRX,2026-01-18,6,2
LAFR,2025-12-26,6,3
MEXA,2026-01-08,10,0
BIRX,2025-12-31,10,1
YLON,2026-01-16,10,1
NUWT,2025-12-21,6,2
TAZE,2026-01-03,2,1
