CustomerID,SubscriptionType,StartDate,EndDate
abcd,Basic,2021-11-15,2026-01-01
lbro,Premium,2022-07-09,2026-07-09
ZQIM,Premium,2021-03-25,2026-03-25
LAFR,Premium,2021-05-01,2026-05-01
NUWT,Basic,2021-12-10,2026-12-10
QESO,Premium,2021-02-18,2026-02-18
BIRX,Premium,2021-12-07,2026-12-07
VOTL,Premium,2021-08-05,2026-08-05
MEXA,Basic,2021-12-07,2026-12-07
PRUG,Premium,2021-11-27,2026-11-27
YLON,Premium,2021-07-10,2026-07-10
TAZE,Premium,2021-10-12,2026-10-12
KIRP,Premium,2021-09-26,2026-09-26
WOSN,Premium,2021-08-11,2026-08-11
JALU,Premium,2021-02-01,2026-02-01
CREG,Basic,2021-08-19,2026-08-19
FUMT,Premium,2021-08-04,2026-08-04
SBUY,Premium,2021-02-11,2026-02-11
HEDQ,Basic,2021-03-05,2026-03-05
ROMP,Basic,2021-07-25,2026-07-25
PLIK,Premium,2021-08-10,2026-08-10
ZURF,Basic,2021-09-22,2026-09-22
